D_SMILES,D_name,A_SMILES,A_name,Jsc(mAcm-2),Voc(V),FF(%),PCE(%),DOI,,,,,,,,,,,
[*]C1=CC2=C(C(C3=CC(F)=C(S3)CC(CC)CCCC)=C4C(SC(C5=CC=C(C6=C(C7=C(S6)C8=CC=C(S8)[*])C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C7=O)=O)S5)=C4)=C2C%10=CC(F)=C(S%10)CC(CC)CCCC)S1,PM6,CCCCCCC1=CC=C(C2(C3=CC=C(CCCCCC)C=C3)C3=C(SC(/C=C4C(=O)C5=C(C=C(F)C(F)=C5)C4=C(C#N)C#N)=C3)C3=C2C2=C(O3)C(C3=CC=C(CC(CC)CCCC)S3)=C3C(=C2C2=CC=C(CC(CC)CCCC)S2)OC2=C3C(C3=CC=C(CCCCCC)C=C3)(C3=CC=C(CCCCCC)C=C3)C3=C2SC(/C=C2C(=O)C4=C(C=CC(F)=C4)C2=C(C#N)C#N)=C3)C=C1,BFHIC-4F,22.8,0.87,0.68,13.4,https://doi.org/10.1039/D0TC05539E,,,,,,,,,,,
[*]C1=CC2=C(C(C3=CC(F)=C(S3)CC(CC)CCCC)=C4C(SC(C5=CC=C(C6=C(C7=C(S6)C8=CC=C(S8)[*])C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C7=O)=O)S5)=C4)=C2C%10=CC(F)=C(S%10)CC(CC)CCCC)S1,PM6,CCCCCCC1=CC=C(C2(C3=CC=C(CCCCCC)C=C3)C3=C(SC(/C=C4C(=O)C5=C(C=CC=C5)C4=C(C#N)C#N)=C3)C3=C2C2=C(O3)C(C3=CC=C(CC(CC)CCCC)S3)=C3C(=C2C2=CC=C(CC(CC)CCCC)S2)OC2=C3C(C3=CC=C(CCCCCC)C=C3)(C3=CC=C(CCCCCC)C=C3)C3=C2SC(/C=C2C(=O)C4=C(C=CC=C4)C2=C(C#N)C#N)=C3)C=C1,BFHIC,15.9,0.97,0.56,8.7,https://doi.org/10.1039/D0TC05539E,,,,,,,,,,,
[*]C1=CC2=C(C(C3=CC=C(S3)CC(CC)CCCC)=C4C=C(SC4=C2C5=CC=C(S5)CC(CC)CCCC)C6=C7SC(C(OCC(CC)CCCC)=O)=C(F)C7=C(S6)[*])S1,PTB7-Th,CCCCCCCCC1=C(C2=C3C(=O)N(CC(CC)CCCC)C(=O)C3=C(C3=CC=C(C4=C5C(=O)N(CC(CC)CCCC)C(=O)C5=C(C5=C(CCCCCCCC)C=C(/C=C6/SC(=C(C#N)C#N)N(CC)C6C)S5)S4)C4=NSN=C34)S2)SC(/C=C2/SC(=C(C#N)C#N)N(CC)C2=O)=C1,BPTCN,23.65,0.72,0.55,9.41,https://doi.org/10.1039/D0TC00225A,,,,,,,,,,,
[*]C1=CC2=C(S1)C(C3=CC=C(S3)CC(CC)CCCC)=C4C(SC(C5=CC=C(C6=C(C7=C(S6)C8=CC=C(S8)[*])C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C7=O)=O)S5)=C4)=C2C%10=CC=C(S%10)CC(CC)CCCC,PBDB-T,CCCCCCCCC1=C(C2=CC3=C(S2)C2=C(C=C(/C=C4C(=O)C5=C(C=C(F)C(F)=C5)C4=C(C#N)C#N)S2)C3(CC(CC)CCCC)CC(CC)CCCC)C2=NSN=C2C(C2=CC3=C(S2)C2=C(C=C(/C=C4C(=O)C5=C(C=C(F)C(F)=C5)C4=C(C#N)C#N)S2)C3(CC(CC)CCCC)CC(CC)CCCC)=C1CCCCCCCC,BTOR-IC4F,20.57,0.8,0.7,11.48,https://doi.org/10.1039/D0TA03683H,,,,,,,,,,,
[*]C1=CC2=C(S1)C(C3=CC=C(S3)CC(CC)CCCC)=C4C(SC(C5=CC=C(C6=C(C7=C(S6)C8=CC=C(S8)[*])C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C7=O)=O)S5)=C4)=C2C%10=CC=C(S%10)CC(CC)CCCC,PBDB-T,CCCCC(CC)CC1(CC(CC)CCCC)C2=C(SC(/C=C3C(=O)C4=C(C=C(F)C(F)=C4)C3=C(C#N)C#N)=C2)C2=C1C=C(C1=CC=C(C3=CC4=C(S3)C3=C(C=C(/C=C5C(=O)C6=C(C=C(F)C(F)=C6)C5=C(C#N)C#N)S3)C4(CC(CC)CCCC)CC(CC)CCCC)C3=NSN=C13)S2,BT-IC4F,21.4,0.69,0.66,9.83,https://doi.org/10.1039/D0TA03683H,,,,,,,,,,,
[*]C1=CC2=C(S1)C(C3=CC=C(S3)CC(CC)CCCC)=C4C(SC(C5=CC=C(C6=C(C7=C(S6)C8=CC=C(S8)[*])C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C7=O)=O)S5)=C4)=C2C%10=CC=C(S%10)CC(CC)CCCC,PBDB-T,CCCCC(CC)CC1(CC(CC)CCCC)C2=C(SC(/C=C3C(=O)C4=C(C=C(F)C(F)=C4)C3=C(C#N)C#N)=C2)C2=C1C=C(C1=C(F)C(F)=C(C3=CC4=C(S3)C3=C(C=C(/C=C5C(=O)C6=C(C=C(F)C(F)=C6)C5=C(C#N)C#N)S3)C4(CC(CC)CCCC)CC(CC)CCCC)C3=NSN=C31)S2,BT2F-IC4F,19.43,0.67,0.65,8.45,https://doi.org/10.1039/D0TA03683H,,,,,,,,,,,
[*]C1=CC2=C(S1)C(C3=CC=C(S3)CC(CC)CCCC)=C4C(SC(C5=CC=C(C6=C(C7=C(S6)C8=CC=C(S8)[*])C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C7=O)=O)S5)=C4)=C2C%10=CC=C(S%10)CC(CC)CCCC,PBDB-T,CCCCCCCCC1(CCCCCCCC)C2=CC3=C(C=C2C2=CC4=C(C=C21)C1=C(S4)C2=C(C=C(/C=C4C(=O)C5=C(C=C(F)C(F)=C5)C4=C(C#N)C#N)S2)C1(C1=CC=C(CCCCCC)C=C1)C1=CC=C(CCCCCC)C=C1)SC1=C3C(C2=CC=C(CCCCCC)C=C2)(C2=CC=C(CCCCCC)C=C2)C2=C1SC(/C=C1C(=O)C3=C(C=C(F)C(F)=C3)C1=C(C#N)C#N)=C2,DTFT9-FIC,19.01,0.86,0.59,9.58,https://doi.org/10.1039/C9TA05116C,,,,,,,,,,,
[*]C1=CC2=C(S1)C(C3=CC=C(S3)CC(CC)CCCC)=C4C(SC(C5=CC=C(C6=C(C7=C(S6)C8=CC=C(S8)[*])C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C7=O)=O)S5)=C4)=C2C%10=CC=C(S%10)CC(CC)CCCC,PBDB-T,CCCCCCCCC1(CCCCCCCC)C2=CC3=C(C=C2C2=CC4=C(C=C(C5=C(CC(CC)CCCC)C=C(/C=C6C(=O)C7=C(C=C(F)C(F)=C7)C6=C(C#N)C#N)S5)S4)C=C21)SC(C1=C(CC(C)CC)C=C(/C=C2C(=O)C4=C(C=C(F)C(F)=C4)C2=C(C#N)C#N)S1)=C3,DTFT5-FIC ,11.64,0.9,0.52,5.45,https://doi.org/10.1039/C9TA05116C,,,,,,,,,,,
CCCCCCCCC(S1)=CC=C1C2=C(C3=C(C=C(C4=CC=C(C5=C6C(C(C7=C(CC(CCCC)CC)SC(CC(CCCC)CC)=C7C6=O)=O)=C(C8=CC=C([*])S8)S5)S4)S3)S9)C9=C(C%10=CC=C(CCCCCCCCC)S%10)C%11=C2SC%12=C%11SC([*])=C%12,PBDB-T1,O=C1N(C(CCCCC)CCCCC)C(C2=C(C1C=C3[Se]4)C5=C3C(C4=CC6C(N(C(CCCCC)CCCCC)C7=O)=O)=C(C6=C7C=C8C9=CC=C(/C(C%10=CC=C(C%11=CC%12=C%13C%14=C%15C%16=C%17C(C=CC(C(N(C(CCCCC)CCCCC)C%18=O)=O)=C%17C%18C=C%16[Se]C%15=CC%13C(N(C(CCCCC)CCCCC)C%12=O)=O)=C%14%11)C=C%10)=C(C%19=CC=C(C%20=CC%21=C%22C%23=C%24C%25=C%26C(C=CC(C(N(C(CCCCC)CCCCC)C%27=O)=O)=C%26C%27C=C%25[Se]C%24=CC%22C(N(C(CCCCC)CCCCC)C%21=O)=O)=C%23%20)C=C%19)C%28=CC=C(C%29=CC%30=C%31C%32=C%33C%34=C%35C(C=CC(C(N(C(CCCCC)CCCCC)C%36=O)=O)=C%35C%36C=C%34[Se]C%33=CC%31C(N(C(CCCCC)CCCCC)C%30=O)=O)=C%32%29)C=C%28)C=C9)C8=C5C=C2)=O,TPE-PDI4-Se,10.29,1.05,0.69,7.63,https://doi.org/10.1039/C8TC04926B,,,,,,,,,,,
[*]C1=CC2=C(C(C3=CC(F)=C(S3)CC(CC)CCCC)=C4C(SC(C5=CC=C(C6=C(C7=C(S6)C8=CC=C(S8)[*])C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C7=O)=O)S5)=C4)=C2C%10=CC(F)=C(S%10)CC(CC)CCCC)S1,PM6,FC1=CC(C2=CC3=C(C(SC(/C=C4C(C(C=C(F)C(F)=C5)=C5C4=C(C#N)C#N)=O)=C6)=C6C3(CC(CC)CCCC)CC(CC)CCCC)S2)=C(F)C=C1C7=CC(C8(CC(CC)CCCC)CC(CC)CCCC)=C(S7)C9=C8C=C(/C=C%10C(C(C=C(F)C(F)=C%11)=C%11C\%10=C(C#N)C#N)=O)S9,HF-PCIC,17.81,0.91,0.71,11.49,https://doi.org/10.1039/C8TA03753A,,,,,,,,,,,
